item_id,framework,method,existing_mapping_correct,existing_mapping_total,missing_mapping_true_positive,missing_mapping_proposed,missing_mapping_reference_total,evidence_errors,unsupported_claims,execution_time_min,human_review_time_min,total_time_min,short_note
TC05,EU AI Act,manual,,3,,,,,,,,,
TC05,EU AI Act,llm_only,,3,,,,,,,,,
TC05,EU AI Act,agentic_rag,,3,,,,,,,,,
TC06,EU AI Act,manual,,3,,,,,,,,,
TC06,EU AI Act,llm_only,,3,,,,,,,,,
TC06,EU AI Act,agentic_rag,,3,,,,,,,,,
TC07,EU AI Act,manual,,2,,,,,,,,,
TC07,EU AI Act,llm_only,,2,,,,,,,,,
TC07,EU AI Act,agentic_rag,,2,,,,,,,,,
TC08,EU AI Act,manual,,3,,,,,,,,,
TC08,EU AI Act,llm_only,,3,,,,,,,,,
TC08,EU AI Act,agentic_rag,,3,,,,,,,,,
TC09,EU AI Act,manual,,3,,,,,,,,,
TC09,EU AI Act,llm_only,,3,,,,,,,,,
TC09,EU AI Act,agentic_rag,,3,,,,,,,,,
TC10,EU AI Act,manual,,4,,,,,,,,,
TC10,EU AI Act,llm_only,,4,,,,,,,,,
TC10,EU AI Act,agentic_rag,,4,,,,,,,,,
TC11,EU AI Act,manual,,3,,,,,,,,,
TC11,EU AI Act,llm_only,,3,,,,,,,,,
TC11,EU AI Act,agentic_rag,,3,,,,,,,,,
TC12,EU AI Act,manual,,3,,,,,,,,,
TC12,EU AI Act,llm_only,,3,,,,,,,,,
TC12,EU AI Act,agentic_rag,,3,,,,,,,,,
TC13,EU AI Act,manual,,2,,,,,,,,,
TC13,EU AI Act,llm_only,,2,,,,,,,,,
TC13,EU AI Act,agentic_rag,,2,,,,,,,,,
TC14,EU AI Act,manual,,3,,,,,,,,,
TC14,EU AI Act,llm_only,,3,,,,,,,,,
TC14,EU AI Act,agentic_rag,,3,,,,,,,,,
TC15,EU AI Act,manual,,3,,,,,,,,,
TC15,EU AI Act,llm_only,,3,,,,,,,,,
TC15,EU AI Act,agentic_rag,,3,,,,,,,,,
TC16,EU AI Act,manual,,3,,,,,,,,,
TC16,EU AI Act,llm_only,,3,,,,,,,,,
TC16,EU AI Act,agentic_rag,,3,,,,,,,,,
TC17,EU AI Act,manual,,4,,,,,,,,,
TC17,EU AI Act,llm_only,,4,,,,,,,,,
TC17,EU AI Act,agentic_rag,,4,,,,,,,,,
